17.911727, 59.275562, "st1 skärholmen 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97406"
18.377606, 59.745506, "st1 rimbo 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:97407"
18.067671, 59.433898, "st1 täby 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97411"
18.143502, 59.177973, "st1 handen 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97420"
16.394190, 61.346190, "st1 bollnäs 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97422"
14.230370, 60.508520, "st1 vansbro 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:97432"
11.655870, 58.477680, "st1 munkedal 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:97437"
12.711750, 56.028630, "st1 helsingborg 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97440"
12.121430, 57.350210, "st1 åsa 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:97443"
13.482350, 59.537920, "st1 forshaga 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:97445"
14.024260, 57.182350, "st1 värnamo 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:97448"
18.134319, 59.461766, "st1 täby 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:97450"
16.512490, 59.383230, "st1 eskilstuna 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97452"
15.110190, 60.890780, "st1 rättvik 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:97454"
17.741420, 59.505210, "st1 kungsängen 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97455"
14.958210, 58.027260, "st1 tranås 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:97457"
12.956510, 56.502400, "st1 mellbystrand 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97459"
15.114490, 58.331520, "st1 mjölby 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97470"
18.168840, 59.344400, "st1 lidingö 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:97475"
12.965070, 55.580470, "st1 malmö 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97476"
11.937240, 57.659060, "st1 västra frölunda 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:97486"
12.546230, 57.927690, "st1 alingsås 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97487"
14.816110, 56.891220, "st1 växjö 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97488"
11.978980, 57.704490, "st1 göteborg 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:97490"
13.712440, 56.287953, "st1 bjärnum 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:97493"
15.786020, 58.710720, "st1 finspång 0771369369", "st1 automat 1 95 oktan diesel Stationsnr:97494"
17.036040, 59.361900, "st1 strängnäs 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97496"
18.095710, 59.442180, "st1 täby 0771369369", "st1 automat 3 95 oktan diesel Stationsnr:97498"
14.176000, 57.772350, "st1 jönköping 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97501"
17.861240, 59.365630, "st1 vällingby 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97505"
13.801080, 55.432390, "st1 ystad 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97508"
12.554280, 56.206860, "st1 höganäs 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:97513"
13.589280, 56.163670, "st1 tyringe 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97579"
13.024680, 55.573130, "st1 malmö 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:97581"
17.936100, 59.295500, "st1 skärholmen 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:98101"
18.009900, 59.294700, "st1 hägersten 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:98102"
18.282300, 59.480600, "st1 åkersberga 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:98103"
17.878100, 59.613800, "st1 arlanda stad 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:98104"
17.554900, 59.561600, "st1 bålsta 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:98105"
17.831300, 59.214400, "st1 tumba 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:98106"
18.053400, 59.438500, "st1 täby 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:98108"
15.224000, 59.598200, "st1 lindesberg 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:98109"
15.173900, 60.130600, "st1 ludvika 0771369369", "st1 automat 1 95 oktan diesel e85 Stationsnr:98110"
15.810100, 59.995600, "st1 fagersta 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:98111"
16.469900, 59.375400, "st1 eskilstuna 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:98112"
16.613900, 59.613200, "st1 västerås 0771369369", "st1 automat 3 95 oktan diesel e85 Stationsnr:98113"
